Id	Tweets	Lang	Location
1225684089748934656	"#IowaCaucusesDisaster 
Sanders lost to Buttigieg. we'll see a war between an alligator and a snake. After they bite… https://t.co/hQWkF5ikxV"	en	🍏🍎
1225684082232709121	RT @GtKiss0809: The #ComplicitCorruptGOP probably just handed #IdiotInChief the #2020Election should have went to articles of insanity #Ame…	en	California
1225683954839146496	"RT @KristenClarkeJD: 271 days until Nov #2020Election

Now is the time to mobilize and activate:
✔️Verify your registration status
✔️Check…"	en	Near Tupelo, Mississippi, USA
1225683905421856768	"@MarkJacob16 @rosphlps So awesome! We are going to take our country back! 
We just MOTIVATED VOTERS NOW LIKE NEVER BEFORE #2020ELECTION"	en	Facebook: El Dorado Hills Ca 
1225683852695203842	RT @realCoyotay: If this recent mess in Iowa doesn't scream that we need paper ballots only, I don't know what does. Hand marked. And freak…	en	The Western Galil, Israel
1225683514688851973	"RT @Patriot_Mom_17: Attn: All Anti -Trumpers

This👇is why we elected @realDonaldTrump and WILL again in #2020election 

Clutch your pearls…"	en	South Florida, Nevada ✅
1225683427917066245	"RT @KristenClarkeJD: 271 days until Nov #2020Election

Now is the time to mobilize and activate:
✔️Verify your registration status
✔️Check…"	en	DC metropolitan area
1225683376947916800	"RT @KristenClarkeJD: 271 days until Nov #2020Election

Now is the time to mobilize and activate:
✔️Verify your registration status
✔️Check…"	en	Memphis, TN
1225683372749418498	RT @billmaher: .@TheDemocrats must stop talking about playing as dirty as the Republicans and actually start doing it. #2020election https:…	en	United States
1225683255736713218	UPDATE @FiveThirtyEight The popularity of @realDonaldTrump Approval going up, disapproval coming down. That's the… https://t.co/8QU5Pi94d8	en	Melbourne
1225682875573399559	RT @realCoyotay: If this recent mess in Iowa doesn't scream that we need paper ballots only, I don't know what does. Hand marked. And freak…	en	United States
1225682714201714688	"RT @Patriot_Mom_17: Attn: All Anti -Trumpers

This👇is why we elected @realDonaldTrump and WILL again in #2020election 

Clutch your pearls…"	en	
1225681626220257280	RT @realCoyotay: If this recent mess in Iowa doesn't scream that we need paper ballots only, I don't know what does. Hand marked. And freak…	en	
1225680587693813761	RT @realCoyotay: If this recent mess in Iowa doesn't scream that we need paper ballots only, I don't know what does. Hand marked. And freak…	en	Alabama, USA
1225680203227131904	"RT @KristenClarkeJD: 271 days until Nov #2020Election

Now is the time to mobilize and activate:
✔️Verify your registration status
✔️Check…"	en	
1225679719950999562	"Attn America! SOS!
West Texas being poisoned by Trump's oil dominance &amp; 0people are getting sick!
It's worse now!… https://t.co/J3OExPrxUT"	en	Facebook: El Dorado Hills Ca 
1225679523804401665	"RT @hotchkiss_jon: @funder NEW VIDEO: Trump’s speech not the only thing that should be torn up!
#TrumpIsAnIdiot #NancyPelosiROCKS #RIPGOP #…"	en	
1225679055929757696	RT @WestJournalism: There's no blaming the Russians this time. #2016Election #2020election #DemocratPrimary #DemocraticParty #Democrats #Hi…	en	
1225678459331940353	@BetteMidler Wtf. This is The Democratic Party trying to interfere with our 2020Election!	en	
1225677576053522432	RT @billmaher: .@TheDemocrats must stop talking about playing as dirty as the Republicans and actually start doing it. #2020election https:…	en	Twin Cities
1225677001534537729	Can't wait for #2020election you idiot @realDonaldTrump. The CORRUPT @GOP may support your mental illness but the m… https://t.co/Mz2j7ExgIZ	en	Rochester NY Area
1225676976989470721	RT @billmaher: .@TheDemocrats must stop talking about playing as dirty as the Republicans and actually start doing it. #2020election https:…	en	
