Id	Tweets	Lang	Location
1225679055929757696	RT @WestJournalism: There's no blaming the Russians this time. #2016Election #2020election #DemocratPrimary #DemocraticParty #Democrats #Hi…	en	
1225678459331940353	@BetteMidler Wtf. This is The Democratic Party trying to interfere with our 2020Election!	en	
1225677576053522432	RT @billmaher: .@TheDemocrats must stop talking about playing as dirty as the Republicans and actually start doing it. #2020election https:…	en	Twin Cities
1225677001534537729	Can't wait for #2020election you idiot @realDonaldTrump. The CORRUPT @GOP may support your mental illness but the m… https://t.co/Mz2j7ExgIZ	en	Rochester NY Area
1225676976989470721	RT @billmaher: .@TheDemocrats must stop talking about playing as dirty as the Republicans and actually start doing it. #2020election https:…	en	
1225676838921355266	@realDonaldTrump You cut food stamps for seniors &amp; disabled people from as much as $100-$200 to as little as $12-$1… https://t.co/G6AJtPLH2U	en	
1225676530900029443	RT @hollywoodufos: Daymond Steer is doing exactly what I've been agitating about for almost a year now — using the #2020election to push #U…	en	HQ - Tucson, Arizona, USA
1225675393887170560	"RT @pop_lynne: The cowardly two-faced approach of @SenCoryGardner doesn't work because we constituents are smarter than he thinks we are.
#…"	en	Colorado, USA
1225675105855918080	#Schumer to disheartened #Democrats: 'Don't give up!' https://t.co/rYugFMxiT4 via @msnbc  #News #Democrats… https://t.co/mwvz308RQQ	en	Longview, TX
1225674823411453953	#Perez unconcerned about #Iowa #turnout: 'The #energy is everywhere' https://t.co/di6GFP5iDt via @msnbc #News… https://t.co/uLnidgKzSM	en	Longview, TX
1225673929341059083	@by_the_ppl Now is the time for protest songs. Please listen to Orange Man and share- thank you… https://t.co/wjaXf5Bn7K	en	
1225673759647883264	"RT @KristenClarkeJD: 271 days until Nov #2020Election

Now is the time to mobilize and activate:
✔️Verify your registration status
✔️Check…"	en	
1225673723769802753	Filled out my vote-by-mail ballot for @BernieSanders and @Angelica4CA! #2020election #CAprimary	en	
1225673608481034240	RT @billmaher: .@TheDemocrats must stop talking about playing as dirty as the Republicans and actually start doing it. #2020election https:…	en	Colorado, USA
1225673331031937026	"RT @KristenClarkeJD: 271 days until Nov #2020Election

Now is the time to mobilize and activate:
✔️Verify your registration status
✔️Check…"	en	
1225673143525634050	RT @hollywoodufos: Daymond Steer is doing exactly what I've been agitating about for almost a year now — using the #2020election to push #U…	en	United Kingdom
1225672662254440449	RT @RealJamesWoods: The hate in this one is so deeply embedded in her DNA, she genuinely doesn’t recognize it. While her loathing of Americ…	en	California
1225672152889712640	@by_the_ppl Nownis the time for protest songs- please listen tonIrange Man and share- thank you… https://t.co/qInJMpGAqr	en	
1225671459177058304	"#cSpanRadioWashingtonToday #IowaCaucusResults #2020Election #WalkAway
Why is it the presidential hopefuls that are… https://t.co/tJB3azHRm0"	en	Philadelphia, PA
1225671447923683329	"RT @AssalRad: They say never meet your heroes but Noam Chomsky never disappoints.

1 comment that stuck out was idea that while US is the m…"	en	RVA
1225671026702352387	"RT @alexrego_tweets: Meet @AndrewYang's IRL followers: @ZachandMattShow @felon_fred &amp; @BBoxReality 
(thank you guys for taking time to chat…"	en	
1225670830106918915	RT @TheBlueJarhead: The GOP betrayed America... And now that our blood is boiling, it's time for us to use that as motivation to get ready…	en	United States
1225670458957164544	"RT @SaraCarterDC: #BREAKING:

@FEC reports that @IlhanMN’s Campaign Paid Half of Last Quarter of 2019 Budget to Alleged Boyfriend || #2020E…"	en	
1225670452313354240	The cowardly two-faced approach of @SenCoryGardner doesn't work because we constituents are smarter than he thinks… https://t.co/W7T5TqNU1Z	en	Littleton, CO
1225670397019901957	"RT @KristenClarkeJD: 271 days until Nov #2020Election

Now is the time to mobilize and activate:
✔️Verify your registration status
✔️Check…"	en	Pacific NW
1225669664333676544	"RT @Patriot_Mom_17: Attn: All Anti -Trumpers

This👇is why we elected @realDonaldTrump and WILL again in #2020election 

Clutch your pearls…"	en	North Carolina 
1225669346099204097	"RT @alexrego_tweets: Meet @AndrewYang's IRL followers: @ZachandMattShow @felon_fred &amp; @BBoxReality 
(thank you guys for taking time to chat…"	en	Arizona
1225668692547002368	RT @SansMerci89: When you put your money where your mouth is, pro climate change then I hope you do well with the #2020election, @MikeBloom…	en	Missouri, USA
1225668686205177860	"RT @alexrego_tweets: Meet @AndrewYang's IRL followers: @ZachandMattShow @felon_fred &amp; @BBoxReality 
(thank you guys for taking time to chat…"	en	California, USA
1225668623387119616	When you put your money where your mouth is, pro climate change then I hope you do well with the #2020election,… https://t.co/DxPlMb2VNO	en	Vancouver, WA
1225668556253102080	"RT @alexrego_tweets: Meet @AndrewYang's IRL followers: @ZachandMattShow @felon_fred &amp; @BBoxReality 
(thank you guys for taking time to chat…"	en	Bay Area, CA
1225668373947633665	"RT @alexrego_tweets: Meet @AndrewYang's IRL followers: @ZachandMattShow @felon_fred &amp; @BBoxReality 
(thank you guys for taking time to chat…"	en	
1225668122356531207	RT @OeivindLundberg: @jtuckermartin @Brian_Chovanec Watching from outside, from Norway, it's like a reality show gone wrong. This is such a…	en	
1225667886481473543	"RT @alexrego_tweets: Meet @AndrewYang's IRL followers: @ZachandMattShow @felon_fred &amp; @BBoxReality 
(thank you guys for taking time to chat…"	en	north county san diego
1225667272905121794	@IngrahamAngle WINNING #2020election	en	
1225666746910007296	"@Barnes_Law @prayingmedic It's going to be Donald Trump vs ""a socialist"" aka Bernie in the #2020election 

America… https://t.co/0hOv5buVQW"	en	Melbourne, Australia
1225666499156664328	RT @TheBlueJarhead: We are all pissed off, justice was interfered with by the GOP. Now it's our turn. It's time to start hitting the street…	en	Trying to turn Arizona 🌊
1225666403065163776	"RT @Patriot_Mom_17: Attn: All Anti -Trumpers

This👇is why we elected @realDonaldTrump and WILL again in #2020election 

Clutch your pearls…"	en	USA
1225665967474143233	https://t.co/BOLSz9VhfN #ecs another good source	en	Colorado Cameroun
1225665922355957761	RT @WestJournalism: There's no blaming the Russians this time. #2016Election #2020election #DemocratPrimary #DemocraticParty #Democrats #Hi…	en	
1225665777845460994	RT @WestJournalism: There's no blaming the Russians this time. #2016Election #2020election #DemocratPrimary #DemocraticParty #Democrats #Hi…	en	Australia
1225665155964366848	RT @WestJournalism: There's no blaming the Russians this time. #2016Election #2020election #DemocratPrimary #DemocraticParty #Democrats #Hi…	en	Texas
1225665033796894720	"RT @Patriot_Mom_17: Attn: All Anti -Trumpers

This👇is why we elected @realDonaldTrump and WILL again in #2020election 

Clutch your pearls…"	en	
1225664736173293569	RT @WestJournalism: There's no blaming the Russians this time. #2016Election #2020election #DemocratPrimary #DemocraticParty #Democrats #Hi…	en	
1225664704246214662	RT @billmaher: .@TheDemocrats must stop talking about playing as dirty as the Republicans and actually start doing it. #2020election https:…	en	w| the best of them
1225664686424649728	"%  _____ Sanders/Warren/Yang
. #nonbinary people: 59/15/06
.._multiracial_people: 48/16/19
non-staunch #Dems: 41/18… https://t.co/FcxFjeKHgB"	en	
1225664629554044928	@realDonaldTrump @LouDobbs #Racisme is the new standard...?  #GOP  #KKK #FoxNews #FoxAndFriends #2020election… https://t.co/kRLvfvxMt9	en	lives in Flanders, Belgium
1225664460787863552	RT @billmaher: .@TheDemocrats must stop talking about playing as dirty as the Republicans and actually start doing it. #2020election https:…	en	San Jacinto 
1225664369775673345	There's no blaming the Russians this time. #2016Election #2020election #DemocratPrimary #DemocraticParty #Democrats… https://t.co/NKHR4hXFU6	en	Phoenix, AZ
1225664101910605824	"RT @Patriot_Mom_17: Attn: All Anti -Trumpers

This👇is why we elected @realDonaldTrump and WILL again in #2020election 

Clutch your pearls…"	en	North Carolina and Wash,DC
1225664008797052931	"RT @KristenClarkeJD: 271 days until Nov #2020Election

Now is the time to mobilize and activate:
✔️Verify your registration status
✔️Check…"	en	Marin County, Fairfax
1225663964110934016	"RT @KristenClarkeJD: 271 days until Nov #2020Election

Now is the time to mobilize and activate:
✔️Verify your registration status
✔️Check…"	en	
