Id	Tweets	Lang	Location
1225685149691478016	RT @JamesOKeefeIII: BREAKING: #Expose2020 Part 5: @ewarren Field Organizer   @Los_ANGELes2 Blasts Campaign; Caught on Tape Saying They are…	en	Dallas, TX
1225685144184348673	We've been saying hore these gender wars have no purpose. Yet the black community has taken up arms and is  leading… https://t.co/G495GMM62s	en	Johannesburg
1225685143643246592	RT @gothiccwitc: To all my dearest friends out there, please dont address me and my lover as lesbian, bcs we're not. And being called like…	en	
1225685124383010816	RT @r_bhaduri: @Abk_kr @ikaveri @PragyaTiwari Fear of death is real, very very real. It is not about gender or training. In combat one has…	en	Govindpuram, Ghaziabad
1225685120448786432	RT @nytimes: Finland will now give all new parents the same amount of leave — 164 days, paid — regardless of gender. Single parents will al…	en	Jalisco, México
1225685068091232257	RT @miss_mcinerney: Of course, we could do this by encouraging *men* to spread out and go close the gender gaps in nursing, GPs, primary sc…	en	United Kingdom
1225685052261949440	"RT @Krishna07762797: @BiharKaLal Coz for them..Sabarimala was gender discriminatory.
1 of the women who tried 2 enter it was a Muslim
A Mus…"	en	भारत
1225685049342754816	"If any anon gives to Ladies only, its their choice. I don't think that's a gender related ish.
We are all entitled… https://t.co/uglGGn6LRK"	en	 Lagos, Nigeria
1225685048499691520	@GAYTOWNS69 I agree, but you don’t need to gender this to make your point.	en	Burnaby and Vancouver
1225685045152636928	@business Some articles explored the dimension of race in #HongKongProtests, like what constitutes the identity of… https://t.co/tM8QfA59w1	en	
1225685030430601218	"RT @nasejunstan_: @banson5819 @mor1019 @SB19Official Breaking the traditional art and gender issues. Ugh

#WonderxSB19
#SB19GMMSFAwardee
#S…"	en	
1225685023690330116	The urge need to adress gender bias https://t.co/xh1DpmLXq0	en	Globally
1225685015524020225	RT @AJEnglish: The study discredited two commonly held beliefs about why women are not promoted in the workplace: because they are opting o…	en	Head Smashed In Buffalo Jump
1225685012944523265	RT @confusedophan: bi/pan people calling their partners “partner” regardless of their gender or whether their relationship is perceived as…	en	
1225685006632095747	"RT @pikachump3: terf: but that's a medical condition! they're still men, but NORMAL men don't have that
trans man: being trans is also a me…"	en	
1225685003788410881	RT @miss_mcinerney: Of course, we could do this by encouraging *men* to spread out and go close the gender gaps in nursing, GPs, primary sc…	en	
1225684995869532163	"RT @Politidope: Trump approve/disapprove among women

AZ: 43/55 | CO: 36/62 | FL: 42/56 | GA: 41/56 | IA: 40/57 | ME: 31/67 | MI: 35/63 | M…"	en	Scotland
1225684994581876736	RT @genderoftheday: To be totally clear, this is a bot for trans people, for genderweirds, for queers, for people who are conflicted about…	en	
1225684961979555840	@GSharmili01 @OgublaEpru TRUE ALWAYS TRUE - NOT DISCRIMINATE WITH GENDER	en	Nepal
1225684958766698497	"RT @maxblackhole: Gender is a social construct

It's an easy and inoffensive concept to understand if you suspend your rage long enough to…"	en	Sydney, Australia
1225684953779716098	"i discovered i was ace when i was 15. i am now 21 and still as asexual as ever. 

being young does not stop you fro… https://t.co/aOvDEK5rtj"	en	Illinois, USA • ♒☀️♍🌛♎☝🏻
1225684952403959809	I understand ukuthi its painful and sometimes you want to punish someone for hurting you but ayi, divorces are a ni… https://t.co/WLZajfkSCX	en	Nowhere that matters 
1225684952219471872	"RT @aimrod: ❌mankind
✔️coy

❌chairman
✔️coy

❌congressman
✔️coy

❌businessman
✔️coy

❌policeman
✔️coy

❌landlord
✔️coy

❌boyfriend/girlfrie…"	en	
1225684934045487106	"RT @AuroraBlogspot: How are the Nordic countries so good at social mobility?

- Education is high-quality and is free for everyone;
- Unive…"	en	
1225684931851894784	@gnscloz It’s my opinion, regardless of my gender. You don’t have to agree, I’m just trying to be positive unlike some ☺️	en	West Midlands, England
1225684929133961216	"RT @kizzabesigye1: Great policy!
Promoting good childcare &amp;devlpnt; strong, stable &amp;happy families; gender equality and equity and the foun…"	en	Mubende District- Uganda
1225684923681394691	bwooo (google.... what the fuck is a gender and why does everybody keep asking for mine)	en	nature
1225684912486748161	"""I look forward to the day when the media field will be balanced in terms of gender so that we have more women on t… https://t.co/C7vqKuQOcw"	en	Nairobi, Kenya
1225684910100250624	"RT @EC_AVService: Female Genital Mutilation is a crime in the EU. EU is strongly committed to eliminating FGM. 
Commissioner @helenadalli w…"	en	Belgium
1225684905444511744	RT @_sarangindu: The Male gender: https://t.co/c1bxtvfmc8	en	nawf
1225684872468946947	RT @antonioguterres: Female genital mutilation is an abhorrent human rights violation and a form of violence against women - rooted in the…	en	Maiduguri, Gombe,
1225684861756698624	RT @martinspautzsap: In a high-risk field like #cybersecurity, embracing diverse perspectives can create multiple ways of tackling cyber-at…	en	Internet
1225684852059426818	@Dakmafan @NadineThornhill @colinmochrie You just keep embarrassing yourself. The men with XX have penises. Similar… https://t.co/MPfZGiSQQW	en	She / Her
1225684850465619972	RT @rohini_sgh: I am not Muslim. I am Hindu. And I want reform in my religion first because that affects me directly. Temple trusts need eq…	en	india
1225684847017881605	RT @Terrell__green: This Gender reveal party was crazy asf!!!!!😭😭😭😭😭😂😩✌🏾 https://t.co/konr0pEg8e	en	Chihuahua, México
1225684845176557568	RT @janisfrayer: For weeks, the #coronavirus epidemic has been one of numbers: deaths, cases, % changes, cases outside #Wuhan. We hear litt…	en	The desert
1225684839141007360	I see most of them are boys who are depressed share everything genuinely.. but there are girls who fear to open up… https://t.co/c18rDfUk7I	en	
1225684819863982080	"RT @Ceeekerrr: ""The women’s movement needs the space to talk about sex and gender, without fear of being ‘no platformed’. We reserve that m…"	en	
1225684800792457217	@_hypostasis Kevin no matter the gender, just Kevin	en	Canada
1225684800385638400	@MikeGrunwald Guess what else: Women get elected to high office - yes even the HIGHEST office - without ANY discuss… https://t.co/tUL17H989l	en	Copenhagen, Denmark
1225684800033345537	RT @mcnuggetlover69: @TheRealDrePapi I also never understood why it’s call a threesome for men but a train for women... Like do they not se…	en	Lagos, Nigeria
1225684797181190144	RT @fantasticleak16: Anyone who uses “believe women” to defend Amber Heard is also calling 10+ female witnesses &amp; her own alleged female vi…	en	New York, USA
1225684793636999168	RT @degendering: It’s science baby.... anyway, here’s me from last year https://t.co/pWcRoQcGj3	en	NCL
1225684782719229952	RT @IYCWestBengal: Gender sensitisation can make a new world where men and women can work shoulder to shoulder. But the Govt feels that the…	en	Baidyabati, Hooghly 
1225684776826200070	RT @orfonline: Gender-bias is hidden in some of the most common AI systems that are universally used such as search engines, recruitment so…	en	Mumbai, India
1225684760061595648	RT @JessedHagopian: Wow. The endorsement by @TheBarbaraSmith of @BernieSanders says so much. Barbara has been one of my guiding lights in t…	en	Los Angeles, CA
1225684753099046912	RT @leicspolice: When accessing services, or reporting to the police, incidents are not categorised as either opposite-sex or same-sex assa…	en	
1225684741459857410	"Dear Women,
Well i wish i could glue this in your heads so y’all never forget about it. The generation we are in is… https://t.co/badvjDFsLZ"	en	Jamaica
1225684711109885952	"RT @CNN: Amy Klobuchar says President Trump's transgender military ban is ""mean-spirited"" and if elected president, she will commit to over…"	en	
1225684696761110528	"Women's Voice and Leadership (WVL) Project invites Women's Right organizations from Kenya.
Deadline 2 March 2020.… https://t.co/AO4QF0MbzF"	en	Kisumu, Kenya
1225684694592704512	"RT @streddiewarrior: If you're bi with a heavy lean towards the same gender you're not gay, you're still bi.
If you're bi with a heavy lean…"	en	she/her
1225684690301939715	This but only because the male gender has been abolished and lesbianity now reproduces by artificial insemination.… https://t.co/Q7TRvm6wst	en	Orion Cygnus arm
1225684683372949506	RT @ThatBoyYouLike: I spoke with @WearYourVoice about the importance of doulas working with not just cis women, but also trans masculine an…	en	
1225684674824957952	Interesting and informative piece. Would be great to add an equality budgeting element too, assessing impact of pro… https://t.co/EUr7U2oDPj	en	
1225684669657538561	RT @Harini_Iyengar: The eco gender gap: why is saving the planet seen as women’s work? https://t.co/2vmLxeEiSn	en	
1225684657712156673	"RT @minku231: #Baaghi3 Sis, Can I copy your homework.
#WonderWoman : Sure, but change the gender 😂🤣 https://t.co/EAOZ64G5lU"	en	hostel pe
1225684657338929154	@genderoftheday I'm in the kind of situation where I might have a gender/preferred gender/whatnot ... but none of t… https://t.co/s86TJYYYT4	en	Katrineholm, Sweden
1225684649499713537	"mmmmm this got, uhh, kinda weird. Not how i expected the ""gender-swap"" thing to go #ReThantus"	en	1930s New York
1225684642298122241	@ratinannelynne Okay, in fact, it was in Women's Studies. I said gender studies in case you were too young to remem… https://t.co/kiuySo5iwB	en	Canada
1225684634320556032	"RT @tinytunaroll: ⭐STRETCH MARK = BEAUTIFUL ⭐

No matter the reason you have stretch marks - growing/ageing/gaining/losing/pregnancy - they…"	en	
1225684631191601153	@KWebbNurse Women over-55: more likely to be made redundant, to be long-term unemployed, face age discrimination in… https://t.co/msCE2ouPNw	en	
1225684599348420619	I don't think there's anyone more dizzy than a woman who is getting married. Like I hate that my gender has to take… https://t.co/mOQWeNBpBd	en	Nowhere that matters 
1225684594675961857	RT @ProfLizYardley: Many will be watching #barrymore absolutely appalled at this shower of s**t. Sadly there are many homicides where victi…	en	
1225684557778677761	"RT @yizhan10585: GG: Venus                                 
DD: what u doin ? What u doing with my skirt ?                    
GG: huh, I’m…"	en	wujiera
1225684552242192384	"RT @Shruti93428522: @justvoot Gender equality much needed .

#ShehnazKeAsliFans
#AsliFans
#BB13OnVoot"	en	
1225684548450545664	"RT @justanoutlawfic: #ShadowQueen

Name: Zion

Gender: Female

General Appearance: Curly hair and brown eyes. Once she starts living with R…"	en	Looking for Gwen’s Eyebrows
