Id,Tweets,Lang,Location
1225731974507065345,"RT @gauravtiwarirau: जैसा के लग ही रह था #Shikara प्रेम कथा से ज्यादा कुछ नही रहने वाली, फ़िल्म के रिव्यु से भी यही पता चल रहा है... 

एक…",hi,"Greater Noida, India"
1225731874779099138,यह वैसा ही है जैसे रेगिस्तान में दूर से देखने पर चमकती रेत पानी दिखाई देती है. मगर पास जाने पर सूखी रेत ही नज़र आती… https://t.co/Dam21FI2dV,hi,India
1225731534751010821,इस तरह की मूवी नहीं बननी चाहिए। यह लोगों के दिलों में कड़वाहट पैदा करती है। इस वक्त हमें शांति और सौहार्द की बात कर… https://t.co/Tk5Bco3yXy,hi,"Jaipur, Rajasthan "
1225731256412823557,@PawanDurani Shikara😂😂,hi,"Pune, India"
1225731234116100097,"RT @ZeeNewsHindi: 'इस फिल्म के जरिए पूरी दुनिया में पहुंचेगा 'तोड़ो नहीं जोड़ो' मैसेज'

#Shikara #HighCourt #JammuKashmir #VidhuVinodChopra…",hi,"Madhya Pradesh, India"
1225730801356005378,@aniket0608 Dekh li kya Shikara? Kaisi hai?,hi,"Chennai, India"
1225730731516678144,#Shikara फ़िल्म में मास्टर जी बताते है कि पंडितो के पलायन और उनके प्रति हिंसा की असली वजह वो बंदूके है जो अमेरिका… https://t.co/XNSGLam5cM,hi,Kolkata
1225730598016356352,"डिफेंस कारीडोर के लिए डीआरडीओ
#MissionGreenMillion #AnilKumble #JayeshbhaiJordaar #SidharthSukla #RashamiKeAsliFans… https://t.co/e2so17FjnI",hi,"Lucknow, India"
1225730003775586304,"मूवी रिव्यू : 1942 जैसी लव स्टोरी 'शिकारा' से ताजा हुए 33 साल पुराने जख्म, मिला 'भूलो और माफ करो' का मैसेज… https://t.co/BD5xAC6LXk",hi,India
1225729990261497857,आज #Shikara देखी। बड़े दिनों से इंतज़ार था। फ़िल्म में प्रेम कहानी तो अच्छी है लेकिन पंडितो के पलायन के इतिहास का म… https://t.co/zIEbEQNVl8,hi,Kolkata
1225729808002207744,#जम्मूएवंकश्मीर हाईकोर्ट ने फिल्मकार #विधुविनोदचोपड़ा की फिल्म ‘#शिकारा : द अनटोल्ड स्टोरी ऑफ कश्मीरी’ के खिलाफ दाय… https://t.co/R2r3iCEf0L,hi,"दिल्ली, भारत"
1225728846822903811,#जम्मूएवंकश्मीर हाईकोर्ट ने फिल्मकार #विधुविनोदचोपड़ा की फिल्म ‘#शिकारा : द अनटोल्ड स्टोरी ऑफ कश्मीरी’ के खिलाफ दाय… https://t.co/9hmcjhIAb9,hi,New Delhi
1225728603045806081,"Kaun kaun log the jinhe badi asha thi iss movie se, hath upar karo😂
FB pe to ye rayta club ne shikara ka ad kar kar… https://t.co/O1FSdRL6ys",hi,"Maharashtra, India"
1225728582669889542,"RT @ZeeNewsHindi: #BoxOffice पर आज ही रिलीज हुई थी #Shikara, इसी बीच हाईकोर्ट ने सुनाया ये बड़ा फैसला...

#VidhuVinodChopra #EntertainmentN…",hi,
1225728503821111301,"आमिर खान ने की ""शिकारा"" की तारीफ, कहा- ऐसी कहानी जो बयां की जानी चाहिए
#AmirKhan #Shikarareview 

https://t.co/Ep656FR0fJ",hi,India
1225728155165413376,@AkShukla26 जी क्या यह सही है कि #शिकारा पर @VVCFilms ने एक बार फिर निराश किया है... #Shikara #Shikarareview,hi,Bhopal
1225727926047367171,"@AnuragM63718150 @ashutosh83B क्योंकि ये मूवी तोड़ मरोड़ कर हिन्दुओं को गलत बता रही है।

आशुतोष अभी भी दुश्मनी निभा… https://t.co/yUW7yLRfmd",hi,
1225727339046137857,"@ashutosh83B तु देखने को बोल रहा है, मतलब झोल है!!
#boycott_shikara",hi,
1225727253688061952,"चैतन्य भारत न्यूज
फिल्म : शिकारा
कलाकार : आदिल खान, सादिया, प्रियांशु चटर्जी
निर्देशक: विधु विनोद चोपड़ा
फिल्म टाइप… https://t.co/yzGM3ed8L0",hi,"Madhya Pradesh, India"
1225727044966744064,"#केजरीवाल_बावली_पूंछ
#KejriwalTsunami #Shikara #Author 

शाहीन बाग में बैठी आपाएँ अपने पंचर बनाने वाले मर्दों से भी… https://t.co/hhjBBWpOlX",hi,India
1225727010804101120,"@gulab_dharkar @Viral_SMS SHikara movie ke liye trend suru kro sir 
Sunne me aaya he ki move par rok lag rhi he",hi,
1225726909797064704,"RT @GauravR74939564: हद होती है भाई! दोगलापन कि भी एक सीमा होती है।
बॉलीवुड जो हमेशा से करते आ रहा है,कश्मीरी पंडितों के ऊपर हुए अत्याचारों…",hi,"Varanasi, India"
1225725653493977093,"हद होती है भाई! दोगलापन कि भी एक सीमा होती है।
बॉलीवुड जो हमेशा से करते आ रहा है,कश्मीरी पंडितों के ऊपर हुए अत्याचा… https://t.co/QVYof8HbNZ",hi,"Varanasi, India"
1225725457141649408,"RT @Rashtravadi4: हमें बचाने कोई ना आया, अपने वतन में दंडित हूं;
मुझसे मेरा दर्द ना पूछो मैं कश्मीरी पंडित हूं।। #Shikara #शिकारा https://t…",hi,"New Delhi, India"
1225724516782882816,बॉलीवुड सुपरस्टार आमिर खान ने फिल्मकार विधु विनोद चोपड़ा को उनकी हालिया रिलीज फिल्म ‘शिकारा’ के लिए उन्हें शुभकामना… https://t.co/13uIYAPqkn,hi,"दिल्ली, भारत"
1225724287069253633,"RT @saket71: सिर्फ़ मौसम ख़राब था, कश्मीरी हिंदू टहलने निकले और मैदानों में निकल आए। 🙏🙏#Shikara https://t.co/u2XhRDmXY2",hi,221B Baker Street
1225723875670970368,"#KashmiriPandits
#Shikara #Shikarareview 

Shikara Ko Chhapak Karo...

#ShikaraKoChhapakKaro",hi,India
1225723319607009282,"क्या ख़ास है कश्मीरी पंडितों पर बनी फ़िल्म शिकारा में, पढ़िए फ़िल्म रिव्यू में।

#kashmir #कश्मीर
 https://t.co/NMyMeZd2Tx",hi,India
1225723091986173952,बॉलीवुड सुपरस्टार #आमिरखान ने फिल्मकार #विधुविनोदचोपड़ा को उनकी हालिया रिलीज फिल्म '#शिकारा' के लिए उन्हें शुभकामना… https://t.co/vHIbTOMIZ5,hi,
1225721895082848256,"RT @ABPNews: Friday Release: दिशा पाटनी की 'मलंग' के साथ आज रिलीज हो रही है हिना खान की 'हैक्ड'

#Hacked #Malang #Hinakhan #DishaPatani #An…",hi,"Kolkata, India"
1225721742108184577,"RT @saket71: सिर्फ़ मौसम ख़राब था, कश्मीरी हिंदू टहलने निकले और मैदानों में निकल आए। 🙏🙏#Shikara",hi,
1225721735875424256,Mat Dekhna kachra hai  #Shikara,hi,"Mumbai, India"
1225721495252619266,#Shikara dekhni hain,hi,Meri gully main
1225721299881709568,शिकारा फिल्म आज रिलीज़ हुई है। 19 जनवरी 1990 को 4 लाख कश्मीरी पंडितो को एक कोम ने हमारे हिन्दू भाइयों को घर से बेघर… https://t.co/pasZUUfvTj,hi,India
1225732088629878786,RT @Ringa2122: So Shikara is another 'Mission Kashmir' https://t.co/9NB2aHmWRa,en,"Nagpur, India"
1225732085161185280,"RT @ThtKashmiriGuy: If you are planning for movie this weekend. 

Go for ""#shikara""

Donate for Vidhu Vinod &amp; Rahul Pandita Secular Foundat…",en,
1225732074696577025,@VVCFilms are front of underworld they tried to whitewash crime of kashmiri muslims #Shikara,en,
1225732070724395008,"RT @neelakantha: Watched #Shikara.
It has secularised the #HinduGenocide in #Kashmir and romanticised it for the mega bucks it will make.
O…",en,
1225732070363648003,RT @kashmiriRefuge: Must Watch : Kashmiri Hindu Women Breaks down and takes on Vidhu Vinod Chopra on Shikara as @neelakantha sitting next t…,en,"Jaipur, India"
1225732068589486082,"RT @notmyhell: Pic 1: IMDB Official Poster
Pic 2: Today's news paper advertisement

From Kashmiri Pandits to Just a Love Story
#Shikara #Sh…",en,CHENNAI
1225732057378082816,"I always thought the biggest bigot and a#%&amp;ole was @RahulGandhi , a few days back I thought it's @rahulkanwal howev… https://t.co/0GOQJZC6Rt",en,
1225732052189732865,"RT @desimojito: I got to know about it way back that Shikara was made to do damage control and aimed to rebuild image of musllms, what can…",en,"India, Mumbai"
1225732051204100101,RT @paponmusic: Here’s the video of one more song from the movie #Shikara which is out in the theaters today! ❤️ This one is with the flawl…,en," Majuli, Assam,India"
1225732046519029760,"I disown Shikara movie,it shows no reality of KashmiriHindu's Genocide.I disown it because they saved radical Islam… https://t.co/wCiaERE9vC",en,In Exile
1225732046309314562,"#Shikarareview 
#Shikara
The lead actors are a great find. Both Aadil Khan and Sadia shine in their roles.",en,
1225732034443673606,"RT @SatyshivS: @AdityaRajKaul @rahulpandita Is this true AdityaJi &amp; RahulJi about #Shikara 

https://t.co/bXerIy9I02",en,"Agartala, India"
1225732004529917953,"RT @Bharat_1008_: Why 'The untold story of Kashmiri Pandits' tagline removed?? 

A classics case of deception n cheating?? 
 #Shikara https…",en,Gurgaon
1225732001077923840,"RT @MurudkarVikram: #Shikara 

#Bollywood hiding this reality which happened on January 19, 1990 via movie #Shikara.

Kuch toh sharam karo.…",en,CHENNAI
1225731993742106630,Here’s the video of one more song from the movie #Shikara which is out in the theaters today! ❤️ This one is with t… https://t.co/TOYmZhN28V,en,"mumbai, assam, kumaon, india"
1225731970895736832,RT @gabrutada: @kashmiriRefuge @Shivam_h9 @neelakantha I boycott this movie #Shikara and I will prompt my friends too. For them only money…,en,India
1225731945855766529,"RT @DeepikaBhardwaj: @vivekagnihotri Not watching Shikara at all. No space for political correctness. 

Will wait for #TheKashmirFiles",en,"Bengaluru, India"
1225731944039636992,"How shamelessly this doltish arrogant douchebag @VVCFilms is saying ""Thank you"" to a woman who broke down into tear… https://t.co/3fiXhVgc29",en,"New Delhi, India"
1225731923688902656,"RT @ZeeMusicCompany: #Shikara Full Movie Audio Jukebox out now! 

https://t.co/AhLwZs31il

#Shikara #VidhuVinodChopra @VVCFilms 
@paponmusi…",en,"Tamil Nadu, India"
1225731876410793984,"RT @RohitInExile: The tagline changes from 'The Untold Story of Kashmiri Pandits' to 'A Timeless Love Story'.

Diluting the Genocide is aki…",en,India
1225731824602583040,"RT @ashchanchlani: #Shikara is a very very moving,disturbing and touching film
I was getting goodebumps during the entire movie
Very very e…",en,भारत
1225731808391614465,"RT @ssvirendra: #CoronaOutbreak
So why #Hindu  way of #namaskar is proper
@ReclaimTemples @kanimozhi 
#Shikara https://t.co/s02zu43phH",en,India-Bangalore
1225731784282783745,"RT @ZeeMusicCompany: #GharBharaSaLage is all the happy moments with loved ones. Tune in now!

https://t.co/UUZhIIN973

#Shikara #VidhuVinod…",en,"Tamil Nadu, India"
1225731736685797378,"RT @shaksingh: DO NOT WATCH THE MOVIE SHIKARA. 

INSTEAD OF ASKING QUESTION TO THE ISLAMISTS, IT IS ASKING QUESTIONS TO ORGANISATIONS WHICH…",en,New Delhi
1225731684202475520,"RT @firstpost: REVIEW: #Shikara | #VidhuVinodChopra creatively detaches himself from a subject he's emotionally invested in, writes @inkedi…",en,
1225731681312620545,@kashmiriRefuge @Shivam_h9 @neelakantha I boycott this movie #Shikara and I will prompt my friends too. For them on… https://t.co/i8PTrUGUF7,en,heaven
1225731657350574080,RT @mehrajm: #PIL seeking ban on @VVCFilms's #Shikara has been dismissed by J&amp;K High Court.,en,Amersham London
1225731612668809216,RT @AdityaRajKaul: Stooges of Separatists tried to get #Shikara banned. Yet did not succeed. These are same people who deny the Kashmiri Pa…,en,🇮🇳
1225731504728231936,"RT @aamir_khan: Wishing you all the very best Vinod! 
Shikara is a film about one of the most tragic events in our recent history. A story…",en,India
