Id,Tweets,Lang,Location,Cleaned_text,textblob_polarity,vader_polarity
1225675713459539968,here s james morton from scottish trans alliance advocating the use of blockers as harmless in a top level nhs meetin,en,Over here. ,rt twisterfilm here s james morton from scottish trans alliance advocating the use of blockers as harmless in a top level nhs meetin,Pos,Pos
1225675711710523393,how do actors rules amp institutional contexts combine in gendering political institutions identifie,en,Sheffield and Buenos Aires,how do actors rules amp institutional contexts combine in gendering political institutions vivienlowndes identifie https t co ipzmqu pfk,Neu,Neu
1225675705154859008,you did not choose your birthplace skin color birth parents family birth gender birth language birth name,en,N.A,rt damntrue you did not choose your birthplace skin color birth parents family birth gender birth language birth name,Neu,Neu
1225675701799358464,biometric gender verification yikes,en,N.A,biometric gender verification yikes,Neu,Neu
1225675696694906880,top jobs lead to divorce for women but not for men gender equality work,en,"Geneva, Switzerland",top jobs lead to divorce for women but not for men https t co qhzoyn vj gender equality work https t co usjvv sdrv,Pos,Pos
1225675691875680258,is belief in immutable gender a philosophical belief andrew whiteaker and jemille gibson discuss the rec,en,"Reading, UK",is belief in immutable gender a philosophical belief btemplaw andrew whiteaker and jemille gibson discuss the rec https t co ootmlyiqx,Neu,Neu
1225675691787571204,this gender reveal party was crazy asf,en,N.A,rt terrell__green this gender reveal party was crazy asf https t co konr peg e,Neg,Pos
1225675691305226240,and according to the article he did not ask the officer if he was a boy or a girl he repeatedly said is it a boy,en,N.A,and according to the article he did not ask the officer if he was a boy or a girl he repeatedly said is it a boy https t co z g uyc hp,Neu,Neu
1225675689522679808,my last take on the issue of women soldiers it makes no difference if your daddy dearest was a soldier or you serve as o,en,India,rt dikshitsmita my last take on the issue of women soldiers it makes no difference if your daddy dearest was a soldier or you serve as o,Neu,Pos
1225675678072180737,hong kong women upend gender roles in democracy fight,en,Tokyo,hong kong women upend gender roles in democracy fight https t co yuifisvl,Neu,Neg
1225675669608157187,broadagenda today best wrap of the weeks most important gendernews all the stuff you need to know in carefully cur,en,"Canberra, Australia",rt virginia_hauss broadagenda today best wrap of the weeks most important gendernews all the stuff you need to know in carefully cur,Pos,Pos
1225675655615901696,it s a weird new trend in more advanced economies with robust employment laws this is not allowed nothing but your qualific,en,Botswana,rt bk_putco it s a weird new trend in more advanced economies with robust employment laws this is not allowed nothing but your qualific,Pos,Pos
1225675654928056325,i also never understood why it s call a threesome for men but a train for women like do they not se,en,N.A,rt mcnuggetlover therealdrepapi i also never understood why it s call a threesome for men but a train for women like do they not se,Neu,Pos
1225675653803991040,news release complaint filed against gender affirming surgeons via genderreportca,en,N.A,rt madriversong news release complaint filed against gender affirming surgeons https t co au tit je via genderreportca,Neg,Neg
1225675650968637441,she is just but she is trying her best to reach out to all members of the society regardless of gender age grade s,en,lagos,rt blessin she is just but she is trying her best to reach out to all members of the society regardless of gender age grade s,Pos,Pos
1225675650754736129,i feel bad for people who can t relate to characters that have a different gender than theirs,en,"Los Angeles, CA",meloniemac i feel bad for people who can t relate to characters that have a different gender than theirs,Neg,Neg
1225675643028852736,bi pan people calling their partners partner regardless of their gender or whether their relationship is perceived as,en,Ankh-Morpork,rt confusedophan bi pan people calling their partners partner regardless of their gender or whether their relationship is perceived as,Neu,Neu
1225675627824480257,just coz she is beautiful i wasted my data this other gender mara,en,"Johannesburg, South Africa",rt hloni just coz she is beautiful i wasted my data this other gender mara,Pos,Pos
1225675621935697921,finland will now give all new parents the same amount of leave days paid regardless of gender single parents will al,en,N.A,rt nytimes finland will now give all new parents the same amount of leave days paid regardless of gender single parents will al,Pos,Neg
1225675596794982401,on a serious note we focused too mich on one side women forgot where to draw a line with physical,en,Kings Landing,ntsikimazwai on a serious note we focused too mich on one side women forgot where to draw a line with physical https t co obsebtf hj,Neg,Pos
1225675580101709827,free noh activity in tokyo on february with touch costumes play music move learn in english,en,N.A,rt sebastienplus free noh activity in tokyo on february with japantravel touch costumes play music move learn in english,Pos,Pos
1225675564750536704,this is how you prioritise gender equality https t co klirspkwkm,en,Melbourne & Athens,rt ourwatchaus this is how you prioritise gender equality https t co klirspkwkm,Neu,Neu
1225675563957813249,it s too sad that that sandton video the only thing people are shaming is that lady the other gender continues to stand tall,en, Entertainment.Gauteng,it s too sad that that sandton video the only thing people are shaming is that lady the other gender continues to stand tall,Neg,Neg
1225675562175229953,a ray of hope for all survivors of gender based violence as sexual offences courts are officially signed into regul,en,N.A,a ray of hope for all survivors of gender based violence as sexual offences courts are officially signed into regul https t co ou lqmy au,Pos,Neg
1225675561613299716,a total of candidates have not declared their pan details delhielection assemblyelectionanalysis,en,"A-009, SEC-68 , NOIDA",a total of candidates have not declared their pan details delhielection assemblyelectionanalysis https t co fhb tbspbw,Neu,Neu
